channel,stage,users,rate_to_next
自然流量,浏览,17487,1.0
自然流量,试学,7869,0.45
自然流量,加购,3497,0.444
自然流量,付费,2098,0.6
自然流量,完课,1049,0.5
搜索引擎,浏览,15898,1.0
搜索引擎,试学,7154,0.45
搜索引擎,加购,3179,0.444
搜索引擎,付费,1907,0.6
搜索引擎,完课,953,0.5
社交网络,浏览,18791,1.0
社交网络,试学,8456,0.45
社交网络,加购,3758,0.444
社交网络,付费,2254,0.6
社交网络,完课,1127,0.5
付费广告,浏览,14875,1.0
付费广告,试学,6694,0.45
付费广告,加购,2975,0.444
付费广告,付费,1785,0.6
付费广告,完课,892,0.5
合作推广,浏览,18658,1.0
合作推广,试学,8396,0.45
合作推广,加购,3731,0.444
合作推广,付费,2239,0.6
合作推广,完课,1119,0.5
总计,浏览,20000,1.0
总计,试学,9000,0.45
总计,加购,4000,0.444
总计,付费,2400,0.6
总计,完课,1200,0.5
